[00:16:09] [Server thread/WARN]: Fetching packet for removed entity class_1542['Iron Ingot'/2515545, l='ServerLevel[ZaWarudo]', x=-47.20, y=74.00, z=48.94]
[00:20:45] [Server thread/WARN]: tomisherio moved wrongly!
[00:23:26] [Server thread/WARN]: tomisherio moved wrongly!
[00:27:42] [Server thread/INFO]: [tomisherio: Set own game mode to Creative Mode]
[00:31:01] [Server thread/INFO]: [tomisherio: Set own game mode to Survival Mode]
[00:44:05] [Server thread/WARN]: Mismatch in destroy block pos: class_2338{x=982, y=66, z=574} class_2338{x=983, y=67, z=570}
[00:48:54] [Server thread/WARN]: tomisherio moved wrongly!
[00:54:49] [Server thread/WARN]: tomisherio moved wrongly!
[00:55:57] [Server thread/INFO]: tomisherio lost connection: Disconnected
[00:55:57] [Server thread/INFO]: tomisherio left the game
[00:56:37] [User Authenticator #11/INFO]: UUID of player tomisherio is 15e381a8-1724-43a6-8b15-5dadbe1369ab
[00:56:37] [Server thread/INFO]: tomisherio[/184.103.253.150:59502] logged in with entity id 2522761 at (981.5, 68.0000002, 574.5)
[00:56:37] [Server thread/INFO]: tomisherio joined the game
[01:00:43] [Server thread/INFO]: [tomisherio: Set own game mode to Creative Mode]
[01:01:00] [Server thread/INFO]: [tomisherio: Set own game mode to Survival Mode]
[01:04:42] [Server thread/INFO]: [tomisherio: Set own game mode to Spectator Mode]
[01:05:30] [Server thread/INFO]: [tomisherio: Set own game mode to Survival Mode]
[01:09:01] [Server thread/INFO]: tomisherio lost connection: Disconnected
[01:09:01] [Server thread/INFO]: tomisherio left the game
[01:09:34] [User Authenticator #12/INFO]: UUID of player tomisherio is 15e381a8-1724-43a6-8b15-5dadbe1369ab
[01:09:34] [Server thread/INFO]: tomisherio[/184.103.253.150:59554] logged in with entity id 2525747 at (1009.6892633740952, 93.83915679042586, 593.0054365601582)
[01:09:34] [Server thread/INFO]: tomisherio joined the game
[01:09:54] [Server thread/INFO]: tomisherio lost connection: Disconnected
[01:09:54] [Server thread/INFO]: tomisherio left the game
[01:10:57] [User Authenticator #13/INFO]: UUID of player tomisherio is 15e381a8-1724-43a6-8b15-5dadbe1369ab
[01:10:57] [Server thread/INFO]: tomisherio[/184.103.253.150:59584] logged in with entity id 2526224 at (1047.0477315335395, 77.0, 571.7212578082956)
[01:10:57] [Server thread/INFO]: tomisherio joined the game
[01:13:08] [Server thread/INFO]: [tomisherio: Set own game mode to Spectator Mode]
[01:13:41] [Server thread/INFO]: tomisherio lost connection: Disconnected
[01:13:41] [Server thread/INFO]: tomisherio left the game
[01:17:30] [User Authenticator #14/INFO]: UUID of player tomisherio is 15e381a8-1724-43a6-8b15-5dadbe1369ab
[01:17:30] [Server thread/INFO]: tomisherio[/184.103.253.150:59615] logged in with entity id 2526943 at (1007.3695285377672, 88.79259034350846, 655.3250147784862)
[01:17:30] [Server thread/INFO]: tomisherio joined the game
[01:17:40] [Server thread/INFO]: tomisherio lost connection: Disconnected
[01:17:40] [Server thread/INFO]: tomisherio left the game
[01:20:20] [User Authenticator #15/INFO]: UUID of player tomisherio is 15e381a8-1724-43a6-8b15-5dadbe1369ab
[01:20:20] [Server thread/INFO]: tomisherio[/184.103.253.150:59637] logged in with entity id 2527277 at (1007.3695285377672, 88.79259034350846, 655.3250147784862)
[01:20:20] [Server thread/INFO]: tomisherio joined the game
[01:21:37] [Server thread/INFO]: [tomisherio: Set own game mode to Creative Mode]
[01:28:54] [Server thread/INFO]: tomisherio lost connection: Disconnected
[01:28:54] [Server thread/INFO]: tomisherio left the game
[01:31:53] [User Authenticator #16/INFO]: UUID of player tomisherio is 15e381a8-1724-43a6-8b15-5dadbe1369ab
[01:31:53] [Server thread/INFO]: tomisherio[/184.103.253.150:59689] logged in with entity id 2528904 at (990.2674551123829, 76.53260085503636, 620.4252491021439)
[01:31:53] [Server thread/INFO]: tomisherio joined the game
[01:37:26] [Server thread/INFO]: tomisherio lost connection: Disconnected
[01:37:26] [Server thread/INFO]: tomisherio left the game
[17:48:28] [User Authenticator #17/INFO]: UUID of player tomisherio is 15e381a8-1724-43a6-8b15-5dadbe1369ab
[17:48:28] [Server thread/INFO]: tomisherio[/184.103.253.150:50979] logged in with entity id 2531051 at (1037.6326405069462, 93.7008687714242, 620.0197594435307)
[17:48:28] [Server thread/INFO]: tomisherio joined the game
[17:50:22] [Server thread/INFO]: [tomisherio: Successfully filled 16581 blocks]
[17:51:18] [Server thread/INFO]: [tomisherio: Successfully filled 5182 blocks]
[17:52:46] [Server thread/INFO]: [tomisherio: Successfully filled 134 blocks]
[17:53:36] [Server thread/INFO]: [tomisherio: Successfully filled 73 blocks]
[17:54:45] [Server thread/INFO]: [tomisherio: Successfully filled 117 blocks]
[17:55:04] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[17:55:30] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[17:55:52] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[17:56:47] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[17:57:07] [Server thread/INFO]: [tomisherio: Successfully filled 71 blocks]
[17:57:22] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[17:57:34] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[17:57:49] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[17:58:00] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[17:58:09] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[17:58:20] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[17:58:35] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[17:58:51] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[17:59:00] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[17:59:12] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[17:59:21] [Server thread/INFO]: [tomisherio: Successfully filled 72 blocks]
[18:00:54] [Server thread/INFO]: [tomisherio: Successfully filled 5112 blocks]
[18:01:51] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:02:17] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:02:24] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:02:31] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:02:43] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:02:48] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:02:55] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:03:00] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:03:06] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:03:14] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:03:18] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:03:24] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:03:28] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:03:34] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:03:39] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:03:44] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:03:50] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:03:55] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:04:03] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:04:07] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:04:13] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:04:17] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:04:22] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:04:27] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:04:32] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:04:37] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:04:42] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:04:46] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:04:51] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:04:56] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:05:00] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:05:05] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
[18:05:10] [Server thread/INFO]: [tomisherio: Successfully filled 70 blocks]
